Username,CLD,MAE,Github,Report
prairiewarbler10,a,0.224 ± 0.009,,https://docs.google.com/document/d/1pof60W0rzZzhGYBxdtclGiq3TdZwtPVqB7Os2xTD8Us/edit?tab=t.0
ebl88,b,0.243 ± 0.009,,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
vchupakhin,c,0.269 ± 0.010,,https://gist.github.com/vchupakhinspl/9a5583d6acb9c1d1613a38710fefbbf6
longhung25,d,0.276 ± 0.010,,https://docs.google.com/document/d/1WBi1vd4_w09FliNxQ01vYq9j8mbzwHYqLtW0k_fUWlU/edit?usp=sharing
xiaolinpan,de,0.277 ± 0.010,,https://docs.google.com/document/d/1BzIMfdOfXJMHmuIfnlQUZRCnVfqNQKzgXZbnpJZBFwI/edit?usp=sharing
weijunzhou,e,0.279 ± 0.010,https://github.com/WeiJunZhou23/MolMCL.git,https://docs.google.com/document/d/1TPsdWO654-tL_Lz4_b_66xdGPeGNglil/edit?usp=drive_link&ouid=104987191201424644843&rtpof=true&sd=true
ryan-deepmirror,f,0.291 ± 0.010,https://github.com/ryan-deepmirror,https://docs.google.com/document/d/1zFNA_CKfGRGbdzFXX8dOhkLIOFBybe6pn3H7X8qd6nY/edit?usp=sharing
rced,f,0.292 ± 0.010,https://github.com/cedenoruel/sub_antiviral25,https://github.com/cedenoruel/sub_antiviral25
luispintoc,g,0.301 ± 0.010,,https://docs.google.com/document/d/124EmRMeXIZlXGmYmErVVvb5DLWnU_A_dXgwH43TAvvk/edit?usp=sharing
oscar-mendez-lucio,h,0.307 ± 0.010,https://github.com/recursionpharma/mole_public,https://www.nature.com/articles/s41467-024-53751-y
vladvin,i,0.315 ± 0.013,https://github.com/Alicegaz/AgenticADMET,https://docs.google.com/document/d/16y9EtElTmJ-p0bAYjJaNgkU8WP-CYz77lhHB2oxkTc4/edit?usp=sharing
qb2025,i,0.316 ± 0.010,,https://docs.google.com/document/d/118YhHzl7rEyoAwYSdiRxWzS_7RmweZbDyDFNHzlSTzo/edit?usp=drive_link
xubf,i,0.317 ± 0.012,,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
dzqh,j,0.320 ± 0.011,,https://drive.google.com/file/d/11JPTjWpcehLFpgmo9jpcJXyurLSvpTqm/view?usp=sharing
jharrison,k,0.323 ± 0.011,https://github.com/exscientia/molflux,https://gist.github.com/shug3502/f0fe74f443d1d82fa73bf869148c7cdc
haleemiliyash,l,0.329 ± 0.011,https://github.com/haleemiliyash/ASAP-polaris-blind-challenge-Ligand-ADMET-property-prediction-.git,https://docs.google.com/document/d/1fAZjJBSr3RDBXpZQNv_tcGKWohCIrPdUZYNf1ku1bYo/edit?usp=sharing
alx-dga,l,0.329 ± 0.011,https://github.com/alexisdougha/polaris-submission,https://drive.google.com/file/d/1jUPsolAyrgZ-mIxi5AAMYKBigjniNVCf/view?usp=sharing
austint,m,0.334 ± 0.012,https://github.com/AustinT/asap-2025-challenge-gp,https://github.com/AustinT/asap-2025-challenge-gp
adavi,m,0.335 ± 0.012,,https://storage.polarishub.io/2025-01-asap-discovery/reports/adavi.pdf
steffen-wedig,n,0.347 ± 0.013,,https://drive.google.com/file/d/1ZkPnvkzNaEYe45fLpGZyNUvU9rnM_oDq/view?usp=sharing
jacksonburns,o,0.350 ± 0.014,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/notebooks/polaris_asap.ipynb,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/meta
dodo,o,0.352 ± 0.012,https://github.com/fulopjoz/polaris-antiviral-submission/blob/master/admet-submission/admet_pipeline_b.ipynb,https://tinyurl.com/dodo-admet
balamuruganthirukonda,p,0.359 ± 0.013,https://github.com/BalamuruganThirukonda/Polaris_competition.git,https://docs.google.com/document/d/1lfroAm0TW4mxhHkZjAngHVioe5vrmQMp2C6TzWinu_g/edit?usp=sharing
wvirany,q,0.369 ± 0.013,https://github.com/wvirany,https://github.com/wvirany/BayesOpt
azminewasi,r,0.396 ± 0.013,https://github.com/azminewasi/polaris-antiviral-competition,https://github.com/azminewasi/polaris-antiviral-competition/blob/main/antiviral-admet-2025/report/report.pdf
wolberlab,s,0.416 ± 0.013,https://github.com/talagayev/polaris_antiviral_challenge,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
agitter,t,0.418 ± 0.016,https://github.com/agitter/asap-polaris-admet-challenge,https://doi.org/10.5281/zenodo.14993394
hmacdope,u,0.430 ± 0.011,,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
wtrd,u,0.430 ± 0.014,https://github.com/duartegroup/asap-polaris-challenge,https://docs.google.com/document/d/1464wiMCWdncfWoMIpL4WHI31qOECqeBq0CEhwiAAfW4/edit?usp=sharing
ashmita-bose,v,0.444 ± 0.016,,https://github.com/AshmitaBose/Polaris-ADMET-ASHMITA-BOSE.git
wim0,v,0.444 ± 0.014,https://github.com/dehaenw/polaris-baseline,https://molecular.beauty/blog/2025/03/13/polaris.html
ppxasjsm,w,0.504 ± 0.014,https://github.com/meyresearch/polaris_challenge/,https://github.com/meyresearch/polaris_challenge/blob/main/admet/report.md
yul533,x,0.513 ± 0.016,,https://github.com/yul533/polaris-antiviral-challenge/blob/main/admet%20prediction
apalania,y,0.548 ± 0.019,,https://github.com/apalania/Polaris_ASAP-Challenge-2025/blob/main/Report.pdf
hugo-oicr-quaccel,z,0.615 ± 0.015,,https://docs.google.com/document/d/1NzwitQ-LugGcRjqfumZrAQQi-Wy1kEVC4U1-Rmfty9k/edit?usp=sharing
talagayev,A,0.663 ± 0.014,https://github.com/talagayev/polaris_antiviral_challenge,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
kushal,B,1.106 ± 0.020,,http://storage.polarishub.io/2025-01-asap-discovery/reports/kushal.docx
cc25,C,1.277 ± 0.018,,https://docs.google.com/document/d/1wwmnhGN82uaxNyC3Mr5kj5fCGb_bQ7wT/edit?usp=sharing&ouid=112042337312439931657&rtpof=true&sd=true
kriegegroup,D,1.338 ± 0.020,https://github.com/aehrlich1/polaris-challenge-2025,https://docs.google.com/document/d/1mth0dsjh6ir_qEQt-3CW7YsZHR1LK2jF6rsguKbd89M/edit?usp=sharing
