Molecule Name,CDD Number,SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (µM)
ASAP-0032605,"",1.701,(IC50 could not be calculated)
ASAP-0032604,"",2.593,(IC50 could not be calculated)
ASAP-0032572,"",6.562,> 99.500
ASAP-0032562,"",> 99.500,> 99.500
ASAP-0032561,"",63.711,(IC50 could not be calculated)
ASAP-0032560,"",95.523,> 99.500
ASAP-0032559,"",24.306,> 99.500
ASAP-0032546,"",7.728,> 99.500
ASAP-0032406,"",> 99.500,> 99.500
ASAP-0032403,"",21.248,> 99.500
ASAP-0032402,"",7.034,> 99.500
ASAP-0032386,"",> 99.500,> 99.500
ASAP-0032378,"",0.002,0.144
ASAP-0032364,"",11.007,(IC50 could not be calculated)
ASAP-0032358,"",71.509,> 99.500
ASAP-0032340,"",> 99.500,> 99.500
ASAP-0032332,"",38.037,(IC50 could not be calculated)
ASAP-0032328,"",80.171,> 99.500
ASAP-0032327,"",87.135,> 99.500
ASAP-0032326,"",> 99.500,> 99.500
ASAP-0032325,"",> 99.500,> 99.500
ASAP-0032322,"",0.179,(IC50 could not be calculated)
ASAP-0032312,"",68.922,> 99.500
ASAP-0032300,"",8.311,> 99.500
ASAP-0032295,"",8.150,(IC50 could not be calculated)
ASAP-0032292,"",15.223,(IC50 could not be calculated)
ASAP-0032289,"",6.437,(IC50 could not be calculated)
ASAP-0032285,"",1.426,(IC50 could not be calculated)
ASAP-0032282,"",20.051,> 99.500
ASAP-0032280,"",41.807,(IC50 could not be calculated)
ASAP-0032279,"",2.602,(IC50 could not be calculated)
ASAP-0032278,"",14.168,(IC50 could not be calculated)
ASAP-0032277,"",39.215,(IC50 could not be calculated)
ASAP-0032276,"",0.003,0.297
ASAP-0032271,"",2.628,(IC50 could not be calculated)
ASAP-0032269,"",26.595,(IC50 could not be calculated)
ASAP-0032266,"",0.945,(IC50 could not be calculated)
ASAP-0032264,"",17.565,> 99.500
ASAP-0032261,"",14.938,> 99.500
ASAP-0032260,"",1.269,(IC50 could not be calculated)
ASAP-0032257,"",> 99.500,> 99.500
ASAP-0032256,"",1.254,(IC50 could not be calculated)
ASAP-0032254,"",0.349,2.477
ASAP-0032252,"",14.147,(IC50 could not be calculated)
ASAP-0032246,"",48.993,> 99.500
ASAP-0032242,"",52.788,> 99.500
ASAP-0032241,"",4.920,(IC50 could not be calculated)
ASAP-0032240,"",11.490,(IC50 could not be calculated)
ASAP-0032233,"",0.499,(IC50 could not be calculated)
ASAP-0032223,"",0.002,0.134
ASAP-0032220,"",28.204,> 99.500
ASAP-0032218,"",8.021,(IC50 could not be calculated)
ASAP-0032212,"",> 99.500,> 99.500
ASAP-0032210,"",77.107,> 99.500
ASAP-0032201,"",10.487,(IC50 could not be calculated)
ASAP-0032194,"",32.434,> 99.500
ASAP-0032189,"",5.538,(IC50 could not be calculated)
ASAP-0032185,"",43.459,> 99.500
ASAP-0032184,"",6.925,> 99.500
ASAP-0032183,"",6.506,(IC50 could not be calculated)
ASAP-0032181,"",14.242,(IC50 could not be calculated)
ASAP-0032180,"",8.777,(IC50 could not be calculated)
ASAP-0032175,"",> 99.500,> 99.500
ASAP-0032174,"",72.905,> 99.500
ASAP-0032168,"",4.357,10.012
ASAP-0032167,"",11.971,> 99.500
ASAP-0032161,"",28.735,(IC50 could not be calculated)
ASAP-0032159,"",> 99.500,> 99.500
ASAP-0032158,"",29.298,> 99.500
ASAP-0032155,"",35.982,(IC50 could not be calculated)
ASAP-0032154,"",81.439,> 99.500
ASAP-0032153,"",15.026,(IC50 could not be calculated)
ASAP-0032146,"",> 99.500,> 99.500
ASAP-0032123,"",0.098,(IC50 could not be calculated)
ASAP-0032122,"",2.222,(IC50 could not be calculated)
ASAP-0032107,"",28.374,> 99.500
ASAP-0032104,"",> 99.500,> 99.500
ASAP-0032098,"",> 99.500,> 99.500
ASAP-0032097,"",45.497,> 99.500
ASAP-0032096,"",5.308,> 99.500
ASAP-0032066,"",4.634,> 99.500
ASAP-0032065,"",23.139,> 99.500
ASAP-0032061,"",0.626,(IC50 could not be calculated)
ASAP-0032039,"",64.130,> 99.500
ASAP-0032038,"",42.564,> 99.500
ASAP-0031983,"",> 99.500,> 99.500
ASAP-0031982,"",> 99.500,> 99.500
ASAP-0031981,"",26.314,> 99.500
ASAP-0031980,"",2.097,> 99.500
ASAP-0031973,"",> 99.500,> 99.500
ASAP-0031969,"",6.195,(IC50 could not be calculated)
ASAP-0031964,"",45.938,> 99.500
ASAP-0031961,"",32.390,> 99.500
ASAP-0031960,"",28.153,> 99.500
ASAP-0031952,"",> 99.500,> 99.500
ASAP-0031951,"",> 99.500,> 99.500
ASAP-0031949,"",> 99.500,> 99.500
ASAP-0031948,"",> 99.500,> 99.500
ASAP-0031946,"",1.517,(IC50 could not be calculated)
ASAP-0031945,"",0.215,82.652
ASAP-0031935,"",0.266,(IC50 could not be calculated)
ASAP-0031934,"",3.816,(IC50 could not be calculated)
ASAP-0031932,"",> 99.500,> 99.500
ASAP-0031928,"",> 99.500,> 99.500
ASAP-0031924,"",3.058,> 99.500
ASAP-0031922,"",0.087,(IC50 could not be calculated)
ASAP-0031921,"",4.491,> 99.500
ASAP-0031920,"",8.787,> 99.500
ASAP-0031918,"",> 99.500,> 99.500
ASAP-0031917,"",0.819,> 32.340
ASAP-0031916,"",0.418,> 99.500
ASAP-0031894,"",> 99.500,> 99.500
ASAP-0031893,"",> 99.500,> 99.500
ASAP-0031888,"",> 99.500,> 99.500
ASAP-0031887,"",38.784,> 99.500
ASAP-0031882,"",20.891,> 99.500
ASAP-0031881,"",26.690,> 99.500
ASAP-0031878,"",4.924,> 99.500
ASAP-0031877,"",3.339,> 99.500
ASAP-0031873,"",> 99.500,> 99.500
ASAP-0031870,"",0.185,(IC50 could not be calculated)
ASAP-0031869,"",4.741,(IC50 could not be calculated)
ASAP-0031867,"",0.003,0.695
ASAP-0031865,"",0.778,(IC50 could not be calculated)
ASAP-0031863,"",> 99.500,> 99.500
ASAP-0031855,"",86.119,> 99.500
ASAP-0031852,"",> 99.500,> 99.500
ASAP-0031839,"",3.717,(IC50 could not be calculated)
ASAP-0031834,"",2.279,(IC50 could not be calculated)
ASAP-0031833,"",0.682,(IC50 could not be calculated)
ASAP-0031832,"",10.647,(IC50 could not be calculated)
ASAP-0031815,"",4.344,(IC50 could not be calculated)
ASAP-0031798,"",1.798,(IC50 could not be calculated)
ASAP-0031790,"",0.746,(IC50 could not be calculated)
ASAP-0031785,"",78.664,> 99.500
ASAP-0031780,"",> 99.500,> 99.500
ASAP-0031778,"",45.593,> 99.500
ASAP-0031776,"",4.629,(IC50 could not be calculated)
ASAP-0031761,"",1.208,(IC50 could not be calculated)
ASAP-0031760,"",4.598,> 99.500
ASAP-0031759,"",0.464,(IC50 could not be calculated)
ASAP-0031756,"",12.722,(IC50 could not be calculated)
ASAP-0031755,"",5.459,(IC50 could not be calculated)
ASAP-0031750,"",18.326,> 99.500
ASAP-0031748,"",0.946,(IC50 could not be calculated)
ASAP-0031745,"",> 99.500,> 99.500
ASAP-0031722,"",33.005,> 99.500
ASAP-0031702,"",81.602,> 99.500
ASAP-0031698,"",0.006,0.280
ASAP-0031648,"",0.200,(IC50 could not be calculated)
ASAP-0031647,"",6.935,(IC50 could not be calculated)
ASAP-0031617,"",2.797,> 99.500
ASAP-0031592,"",0.497,(IC50 could not be calculated)
ASAP-0031558,"",0.082,10.305
ASAP-0031557,"",3.245,(IC50 could not be calculated)
ASAP-0031552,"",2.055,> 99.500
ASAP-0031522,"",0.130,(IC50 could not be calculated)
ASAP-0031506,"",1.985,(IC50 could not be calculated)
ASAP-0031482,"",9.397,> 99.500
ASAP-0031472,"",> 99.500,> 99.500
ASAP-0031463,"",45.846,> 99.500
ASAP-0031446,"",0.002,0.275
ASAP-0031445,"",0.333,(IC50 could not be calculated)
ASAP-0031444,"",54.600,> 99.500
ASAP-0031442,"",1.540,> 99.500
ASAP-0031433,"",73.367,> 99.500
ASAP-0031418,"",40.242,> 99.500
ASAP-0031411,"",0.072,(IC50 could not be calculated)
ASAP-0031398,"",0.046,0.250
ASAP-0031393,"",> 99.500,> 99.500
ASAP-0031372,"",0.735,(IC50 could not be calculated)
ASAP-0031367,"",6.362,(IC50 could not be calculated)
ASAP-0031357,"",0.138,(IC50 could not be calculated)
ASAP-0031354,"",> 99.500,> 99.500
ASAP-0031331,"",0.003,0.436
ASAP-0031322,"",36.449,> 99.500
ASAP-0031321,"",0.002,0.284
ASAP-0031289,"",0.321,(IC50 could not be calculated)
ASAP-0031279,"",68.891,> 99.500
ASAP-0031276,"",11.771,> 99.500
ASAP-0031275,"",2.325,31.596
ASAP-0031260,"",36.601,> 99.500
ASAP-0031259,"",3.461,49.788
ASAP-0031251,"",8.502,> 99.500
ASAP-0031242,"",1.192,(IC50 could not be calculated)
ASAP-0031241,"",23.989,> 99.500
ASAP-0031240,"",10.792,52.449
ASAP-0031239,"",72.972,> 99.500
ASAP-0031229,"",64.535,> 99.500
ASAP-0031226,"",4.178,(IC50 could not be calculated)
ASAP-0031224,"",40.618,> 99.500
ASAP-0031223,"",> 99.500,> 99.500
ASAP-0031218,"",1.019,(IC50 could not be calculated)
ASAP-0031217,"",6.622,> 99.500
ASAP-0031213,"",5.030,> 99.500
ASAP-0031198,"",> 99.500,> 99.500
ASAP-0031195,"",18.100,> 99.500
ASAP-0031192,"",47.926,> 99.500
ASAP-0031188,"",1.184,26.594
ASAP-0031187,"",0.267,2.577
ASAP-0031186,"",24.864,> 99.500
ASAP-0031185,"",> 99.500,> 99.500
ASAP-0031184,"",> 99.500,> 99.500
ASAP-0031173,"",0.006,0.308
ASAP-0031169,"",> 99.500,> 99.500
ASAP-0031159,"",10.592,(IC50 could not be calculated)
ASAP-0031151,"",93.378,> 99.500
ASAP-0031146,"",0.611,21.329
ASAP-0031128,"",6.197,(IC50 could not be calculated)
ASAP-0031127,"",3.223,> 99.500
ASAP-0031123,"",21.197,69.821
ASAP-0031116,"",33.837,> 99.500
ASAP-0031100,"",0.017,0.417
