Username,CLD,Type,MAE,GitHub,Report
oscar-mendez-lucio,a,DL,0.509 ± 0.022,https://github.com/recursionpharma/mole_public,https://www.nature.com/articles/s41467-024-53751-y
ccorbi,b,DL,0.516 ± 0.022,https://github.com/exscientia/molflux,https://gist.github.com/shug3502/f0fe74f443d1d82fa73bf869148c7cdc
siat353,b,ML,0.517 ± 0.021,,https://drive.google.com/file/d/1axeFC3gxcVGKPDwVZO2Tyi7W9Mz2ztLN/view?usp=drive_link
xubf,bc,DL,0.518 ± 0.022,,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
alx-dga,c,ML,0.522 ± 0.022,https://github.com/alexisdougha/polaris-submission,https://drive.google.com/file/d/1jUPsolAyrgZ-mIxi5AAMYKBigjniNVCf/view?usp=sharing
luispintoc,d,DL,0.532 ± 0.022,,https://docs.google.com/document/d/124EmRMeXIZlXGmYmErVVvb5DLWnU_A_dXgwH43TAvvk/edit?usp=sharing
ryan-deepmirror,e,DL,0.539 ± 0.021,https://github.com/ryan-deepmirror,https://docs.google.com/document/d/1zFNA_CKfGRGbdzFXX8dOhkLIOFBybe6pn3H7X8qd6nY/edit?usp=sharing
rced,f,ML,0.544 ± 0.022,https://github.com/cedenoruel/sub_antiviral25,https://github.com/cedenoruel/sub_antiviral25
dodo,f,ML,0.548 ± 0.022,https://github.com/fulopjoz/polaris-antiviral-submission/blob/master/potency-submission/potency-prediction-pipeline.ipynb,https://tinyurl.com/dodo-potency
sina,g,ML,0.554 ± 0.021,,https://github.com/khosravisina/Polaris-potency-report/tree/main
gufan1998,g,DL,0.555 ± 0.022,https://github.com/gu-yaowen/GGAP-CPI,https://docs.google.com/document/d/1B2I1pnHB32qy_CmbFXAWgNfNG-4qn_C2/edit?usp=sharing&ouid=108734974888240888578&rtpof=true&sd=true
wim0,h,DL,0.561 ± 0.021,https://github.com/dehaenw/polaris-baseline,https://molecular.beauty/blog/2025/03/13/polaris.html
austint,h,GP,0.564 ± 0.021,https://github.com/AustinT/asap-2025-challenge-gp,https://github.com/AustinT/asap-2025-challenge-gp
jacksonburns,i,DL,0.575 ± 0.022,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/notebooks/polaris_asap.ipynb,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/meta
caithmac,j,GP,0.600 ± 0.021,,https://github.com/caithmac/polaris_potency_mpro
talagayev,j,DL,0.602 ± 0.024,https://github.com/talagayev/polaris_antiviral_challenge,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
steffen-wedig,k,DL,0.656 ± 0.028,,https://drive.google.com/file/d/1ZkPnvkzNaEYe45fLpGZyNUvU9rnM_oDq/view?usp=sharing
wolberlab,k,ML,0.660 ± 0.024,https://github.com/talagayev/polaris_antiviral_challenge,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/Preliminary_prediction_protocol_2nd_submission.md
nnnty,l,PB,0.676 ± 0.025,,https://github.com/yul533/polaris-antiviral-challenge/blob/main/potency%20prediction%202
azminewasi,m,ML,0.687 ± 0.022,https://github.com/azminewasi/polaris-antiviral-competition,https://github.com/azminewasi/polaris-antiviral-competition/blob/main/antiviral-potency-2025/report/report.pdf
yul533,n,PB,0.697 ± 0.025,,https://github.com/yul533/polaris-antiviral-challenge/blob/main/potency%20prediction
wtrd,o,ML,0.702 ± 0.026,https://github.com/duartegroup/asap-polaris-challenge,https://docs.google.com/document/d/1464wiMCWdncfWoMIpL4WHI31qOECqeBq0CEhwiAAfW4/edit?usp=sharing
bkaminow,p*,DL,0.712 ± 0.024,https://github.com/kaminow/asap-polaris-challenge-potency-2025,https://github.com/kaminow/asap-polaris-challenge-potency-2025/blob/main/report.md
kysun,q,DL,0.748 ± 0.026,https://github.com/KSUN63/Polaris-Submission,https://docs.google.com/document/d/1YVxVi-zMc7rX0TrvO7SIZfkQ-uUx3ChdtV4oovq80ts/edit?usp=sharing
longhung25,r,DL,0.764 ± 0.029,,https://docs.google.com/document/d/140sY_Rx_YPEnaw4TbuvuuaO4rq1F29TvNHh779Me5Jc/edit?usp=sharing
danialshah353,s,LR,0.772 ± 0.026,,https://drive.google.com/file/d/1xrmgHAFcyRDAGTQTEeHn83GxuQBfm4cr/view?usp=sharing
hbaumann,t,GP,0.822 ± 0.027,,https://github.com/meyresearch/polaris_challenge/tree/main
kbishop,u,PB,0.853 ± 0.030,,https://docs.google.com/document/d/1exokoYptuwRllvnQp_S42ZW3ecDc6zdk/edit?usp=sharing&ouid=111958341380201258210&rtpof=true&sd=true
hmacdope,u*,LR,0.857 ± 0.027,,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
kriegegroup,v,DL,0.990 ± 0.032,https://github.com/aehrlich1/polaris-challenge-2025,https://docs.google.com/document/d/1mth0dsjh6ir_qEQt-3CW7YsZHR1LK2jF6rsguKbd89M/edit?usp=sharing
geosmina,w,DL,1.053 ± 0.056,,https://github.com/jaaisu/polaris_challenge/blob/main/README.md
ialibay,x,GP,1.146 ± 0.039,https://github.com/meyresearch/polaris_challenge/tree/potency,https://github.com/meyresearch/polaris_challenge/tree/main
