MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Curve class,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Hill slope,MERS-CoV-MPro_fluorescence-dose-response_weizmann: pIC50,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Standard Deviation (±),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Count,Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
> 99.500,,,,,< 4.0,4.22,,1.0,ASAP-0031932,O=C(O)C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:4|,2024-09-30
> 99.500,,,,,< 4.0,4.22,,1.0,ASAP-0031918,CNC(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:4|,2024-09-30
> 99.500,,,,,< 4.0,4.4,,1.0,ASAP-0031920,"C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]1C |o1:1,19|",2024-09-30
> 99.500,,,2.3,0.5,< 4.0,5.57,,1.0,ASAP-0031916,"CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:21,27|",2024-09-30
> 32.340,,,,,< 4.5,4.6,,1.0,ASAP-0031917,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H]2CCCC[C@H]2C1 |a:16,21|",2024-09-30
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0031785,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CCO)C1 |a:17|,2024-09-23
(IC50 could not be calculated),,,,,,4.6,,1.0,ASAP-0031748,CC(C)(F)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
(IC50 could not be calculated),,,,,,4.99,,1.0,ASAP-0031776,C#CC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
(IC50 could not be calculated),,,,,,4.61,,1.0,ASAP-0031832,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@@H]1C |o1:1,19|",2024-09-23
(IC50 could not be calculated),,,,,,4.64,,1.0,ASAP-0031815,CNC(=O)CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2024-09-23
(IC50 could not be calculated),,,,,,4.87,,1.0,ASAP-0031798,O=C(CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCC1,2024-09-23
(IC50 could not be calculated),,,,,,5.3,,1.0,ASAP-0031790,CCC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
> 99.500,,,,,< 4.0,4.21,,1.0,ASAP-0031760,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=C1SC=C2 |o1:1|,2024-09-23
(IC50 could not be calculated),,,,,,5.41,,1.0,ASAP-0031870,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1 |o1:21|,2024-09-23
(IC50 could not be calculated),,,,,,4.88,,1.0,ASAP-0031755,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |o1:1,19|",2024-09-23
(IC50 could not be calculated),,,,,,5.19,,1.0,ASAP-0031833,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@@H]1C |o1:1,19|",2024-09-23
(IC50 could not be calculated),,,,,,5.59,,1.0,ASAP-0031759,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C(F)(F)F)CC1 |&1:17|,2024-09-23
(IC50 could not be calculated),,,,,,4.57,,1.0,ASAP-0031756,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |o1:1,19|",2024-09-23
(IC50 could not be calculated),,,,,,5.59,,1.0,ASAP-0031834,"CC[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",2024-09-23
(IC50 could not be calculated),,,,,,4.6,,1.0,ASAP-0031761,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=C1SC=C2 |o1:1|,2024-09-23
> 99.500,,,,,< 4.0,4.3,,1.0,ASAP-0031778,N#CC[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|,2024-09-23
> 99.500,,,,,< 4.0,4.0,,1.0,ASAP-0031750,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@@H](C(F)(F)F)C1 |a:17|,2024-09-23
> 99.500,,,,,< 4.0,4.9,,1.0,ASAP-0031863,CNC(=O)C[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:5|,2024-09-23
> 99.500,,,,,< 4.0,4.11,,1.0,ASAP-0031887,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CC2)C1,2024-09-23
(IC50 could not be calculated),,,,,,4.62,,1.0,ASAP-0031839,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C(F)(F)F)C1 |a:17|,2024-09-23
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0031881,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCOC2)CC1 |o1:17|,2024-09-23
> 99.500,,,,,< 4.0,4.46,,1.0,ASAP-0031878,CC(C)CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
> 99.500,,,,,< 4.0,4.17,,1.0,ASAP-0031852,"CO[C@H]1C[C@H](O)CN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:2,4|",2024-09-23
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0031894,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@@H](CCO)C1 |a:17|,2024-09-23
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0031893,NC(=O)O[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:4|,2024-09-23
> 99.500,,,,,< 4.0,4.24,,1.0,ASAP-0031888,CC(=O)N[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:4|,2024-09-23
> 99.500,,,,,< 4.0,4.74,,1.0,ASAP-0031877,NC(=O)CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2024-09-23
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0031882,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCOC2)CC1 |o1:17|,2024-09-23
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0031745,CNC(=O)C[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:5|,2024-09-23
> 99.500,,,,,< 4.0,4.2,,1.0,ASAP-0031873,"CO[C@@H]1C[C@H](O)CN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:2,4|",2024-09-23
(IC50 could not be calculated),,,,,,4.68,,1.0,ASAP-0031869,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1 |o1:21|,2024-09-23
(IC50 could not be calculated),,,,,,5.14,,1.0,ASAP-0031865,CC1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
> 99.500,,,,,< 4.0,4.24,,1.0,ASAP-0031855,NC(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|,2024-09-23
> 99.500,,,,,< 4.0,5.1,,1.0,ASAP-0031617,"O=C(COS(=O)(=O)NCC1=CC=CC=C1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:27,33|",2024-09-16
> 99.500,,,,,< 4.0,4.76,,1.0,ASAP-0031482,CC1=CN=C2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2=C1,2024-09-16
(IC50 could not be calculated),,,,,,4.48,,1.0,ASAP-0031506,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=C1SC=C2 |&1:1|,2024-09-16
(IC50 could not be calculated),,,,,,5.56,,1.0,ASAP-0031522,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1=CC=CC=C1 |&1:21|,2024-09-16
(IC50 could not be calculated),,,,,,4.6,,1.0,ASAP-0031557,CC(C)[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |o1:3|,2024-09-16
> 99.500,,,,,< 4.0,4.41,,1.0,ASAP-0031552,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC(F)(F)F)CC1,2024-09-16
(IC50 could not be calculated),,,,,,5.23,,1.0,ASAP-0031592,COC[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:3|,2024-09-16
(IC50 could not be calculated),,,,,,5.29,,1.0,ASAP-0031648,C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,2024-09-16
> 99.500,,,,,< 4.0,4.29,,1.0,ASAP-0031722,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(Cl)C=C2C1,2024-09-16
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0031702,C[C@H](C(=O)N1CCC2=C(C=CS2)C1)C1=CN=CC2=CC=CC=C12 |&1:1|,2024-09-16
(IC50 could not be calculated),,,,,,4.51,,1.0,ASAP-0031647,C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,2024-09-16
> 99.500,,,,,< 4.0,4.61,,1.0,ASAP-0031393,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@]2(O)C[C@H]2C1 |&1:16,19|",2024-09-09
> 99.500,,,,,< 4.0,4.35,,1.0,ASAP-0031322,CC1=CC=C2CN(C(=O)CC3=CN=CC4=CC=CC=C34)CCC2=N1,2024-09-09
0.250,0.033,1.873,2.3,2.684,6.6,7.22,,1.0,ASAP-0031398,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=C(C(F)(F)F)S1 |a:9,32|",2024-09-09
> 99.500,,,,,< 4.0,4.31,,1.0,ASAP-0031354,O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](O)C2CC1C2 |&1:15|,2024-09-09
(IC50 could not be calculated),,,,,,5.53,,1.0,ASAP-0031357,CC(C)[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:3|,2024-09-09
(IC50 could not be calculated),,,,,,5.15,,1.0,ASAP-0031367,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2[C@H](F)[C@H]2C1 |&1:16,&2:17,&3:19|",2024-09-09
(IC50 could not be calculated),,,,,,5.1,,1.0,ASAP-0031289,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1 |&1:21|,2024-09-09
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0031433,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC(C(F)(F)F)=CC=C2C1,2024-09-09
(IC50 could not be calculated),,,,,,5.21,,1.0,ASAP-0031445,C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,2024-09-09
> 99.500,,,,,< 4.0,4.24,,1.0,ASAP-0031472,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(O)C=C2C1,2024-09-09
> 99.500,,,,,< 4.0,4.24,,1.0,ASAP-0031418,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(C(F)(F)F)C=C2C1,2024-09-09
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0031463,C[C@H]1C2=CC=CN=C2CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,2024-09-09
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0031444,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=CC=C2C1,2024-09-09
69.821,11.404,427.483,3.0,1.5,4.2,4.81,,1.0,ASAP-0031123,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]1C2 |&1:16,&2:19|",2024-09-02
31.596,0.000,279462370197860880888550995119047549240402897399001236562294087772635090018603116402936999893954077233979131221854809300844127732105216.000,2.3,10.84,4.5,5.16,,1.0,ASAP-0031275,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CF)CC1,2024-09-02
> 99.500,,,,,< 4.0,4.1,,1.0,ASAP-0031276,COCC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-02
(IC50 could not be calculated),,,,,,4.92,,1.0,ASAP-0031218,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC(F)(F)F)C1 |o1:16|,2024-09-02
> 99.500,,,,,< 4.0,4.23,,1.0,ASAP-0031229,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C[C@H]2C1 |&1:15,&2:17|",2024-09-02
> 99.500,,,,,< 4.0,4.5,,1.0,ASAP-0031217,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC(F)(F)F)C1 |o1:16|,2024-09-02
> 99.500,,,,,< 4.0,4.29,,1.0,ASAP-0031151,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CCC12COC2 |&1:1|,2024-09-02
> 99.500,,,,,< 4.0,4.41,,1.0,ASAP-0031127,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2C(=O)NC[C@@H]12 |o1:1,18,23|",2024-09-02
(IC50 could not be calculated),,,,,,4.65,,1.0,ASAP-0031128,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2C(=O)NC[C@@H]12 |o1:1,18,23|",2024-09-02
(IC50 could not be calculated),,,,,,4.78,,1.0,ASAP-0031159,"C[C@H]1C[C@H]2C[C@@H]1CN2C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,3,5|",2024-09-02
> 99.500,,,,,< 4.0,4.93,,1.0,ASAP-0031184,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1O |&1:1,19|",2024-09-02
49.788,5.041,491.712,2.3,1.0,4.3,5.2,,1.0,ASAP-0031259,"CC1(C)[C@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]21 |&1:3,&2:20|",2024-09-02
> 99.500,,,,,< 4.0,4.06,,1.0,ASAP-0031260,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C[C@@H]1[C@@H]1C[C@H]21 |&1:15,17,18,20|",2024-09-02
> 99.500,,,,,< 4.0,4.06,,1.0,ASAP-0031186,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@@H]1O |&1:1,19|",2024-09-02
> 99.500,,,,,< 4.0,4.45,,1.0,ASAP-0031251,"CO[C@@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC[C@H]1C |&1:2,20|",2024-09-02
> 99.500,,,,,< 4.0,4.87,,1.0,ASAP-0031279,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@H](O)C[C@H]2C1 |&1:16,21,&2:18|",2024-09-02
> 99.500,,,,,< 4.0,4.38,,1.0,ASAP-0031241,CC1(O)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-02
> 99.500,,,,,< 4.0,4.34,,1.0,ASAP-0031198,CN1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-02
> 99.500,,,,,< 4.0,4.01,,1.0,ASAP-0031195,N#CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-02
> 99.500,,,,,< 4.0,4.35,,1.0,ASAP-0031192,C[C@@H](O)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |a:1|,2024-09-02
26.594,3.685,191.950,2.3,1.5,4.6,5.22,,1.0,ASAP-0031188,"CCC1=CC=C([C@H]2C[C@H](C)CCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |o1:6,8|",2024-09-02
> 99.500,,,,,< 4.0,4.22,,1.0,ASAP-0031185,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(O)CC1C2,2024-09-02
> 99.500,,,,,< 4.0,4.48,,1.0,ASAP-0031224,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@@H]1C2 |a:16,18|",2024-09-02
> 99.500,,,,,< 4.0,4.92,,1.0,ASAP-0031223,C[C@H]1CN(C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,2024-09-02
> 99.500,,,,,< 4.0,4.07,,1.0,ASAP-0031239,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2COC[C@H]1C2 |&1:16,&2:20|",2024-09-02
52.449,7.846,350.606,2.3,1.5,4.3,5.06,,1.0,ASAP-0031240,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]1C2 |&1:16,&2:20|",2024-09-02
(IC50 could not be calculated),,,,,,4.82,,1.0,ASAP-0031226,"C[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)CC1=CN=CC2=CC=CC=C12 |a:1,3,6|",2024-09-02
(IC50 could not be calculated),,,,,,4.99,,1.0,ASAP-0030989,CC1=CSC2=C1CN(C(=O)CC1=CN=CC3=CC=CC=C13)CC2,2024-08-26
0.419,0.015,11.378,2.3,4.951,6.4,6.93,,1.0,ASAP-0031001,"CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)O1 |a:7,22|",2024-08-26
(IC50 could not be calculated),,,,,,5.02,,1.0,ASAP-0031012,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CC[C@H]2[C@H]1C1=CC=CC=C1 |o1:15,18,19|",2024-08-26
(IC50 could not be calculated),,,,,,4.58,,1.0,ASAP-0031011,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CC[C@H]2[C@H]1C1=CC=CC=C1 |o1:15,18,19|",2024-08-26
> 99.500,,,,,< 4.0,4.43,,1.0,ASAP-0031015,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |o1:17|,2024-08-26
> 99.500,,,,,< 4.0,4.09,,1.0,ASAP-0031016,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |o1:17|,2024-08-26
> 99.500,,,,,< 4.0,4.4,,1.0,ASAP-0031116,O=C(CC1=CC=CN=C1)N1CCC2=C(C=CS2)C1,2024-08-26
> 99.500,,,,,< 4.0,3.98,,1.0,ASAP-0031005,CC1=CC2=C(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)S1,2024-08-26
(IC50 could not be calculated),,,,,,4.57,,1.0,ASAP-0030944,COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |o1:8|,2024-08-19
> 99.500,,,,,< 4.0,4.05,,1.0,ASAP-0030943,COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |o1:8|,2024-08-19
(IC50 could not be calculated),,,,,,5.27,,1.0,ASAP-0030907,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |o1:1,18|",2024-08-19
9.534,0.000,9196059357100673570880538349785559797819725684269693059412879660999580607846280776459807710125599790606801611114043316813101383961044692830543765376065345502956785851044710525698048.000,1.3,9.223,5.0,5.87,,1.0,ASAP-0030922,"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:2,4|",2024-08-19
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0030906,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |o1:1,18|",2024-08-19
> 99.500,,,,,< 4.0,4.46,,1.0,ASAP-0030982,CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:3|,2024-08-19
(IC50 could not be calculated),,,,,,4.61,,1.0,ASAP-0030975,"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@@H]1CCC2 |o1:14,18|",2024-08-19
> 99.500,,,,,< 4.0,4.42,,1.0,ASAP-0030983,CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:3|,2024-08-19
(IC50 could not be calculated),,,,,,5.49,,1.0,ASAP-0030921,"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:2,4|",2024-08-19
(IC50 could not be calculated),,,,,,4.83,,1.0,ASAP-0030974,"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@@H]1CCC2 |o1:14,18|",2024-08-19
> 99.500,,,,,< 4.0,4.08,,1.0,ASAP-0030751,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@@H]2C1 |o1:15,22|",2024-08-12
