SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: Hill slope,SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: pIC50 (log10M),Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
0.819,0.735,0.914,1.041,6.09,ASAP-0031917,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H]2CCCC[C@H]2C1 |a:16,21|",2024-09-30
8.787,8.154,9.468,1.056,5.06,ASAP-0031920,"C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]1C |o1:1,19|",2024-09-30
0.418,0.393,0.445,1.618,6.38,ASAP-0031916,"CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:21,27|",2024-09-30
2.279,2.141,2.427,1.18,5.64,ASAP-0031834,"CC[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",2024-09-23
4.598,4.363,4.845,1.066,5.34,ASAP-0031760,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=C1SC=C2 |o1:1|,2024-09-23
10.647,10.024,11.309,1.118,4.97,ASAP-0031832,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@@H]1C |o1:1,19|",2024-09-23
26.690,25.175,28.296,1.106,4.57,ASAP-0031881,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCOC2)CC1 |o1:17|,2024-09-23
86.119,76.579,96.847,1.025,4.06,ASAP-0031855,NC(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|,2024-09-23
0.778,0.729,0.829,1.118,6.11,ASAP-0031865,CC1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
4.741,4.134,5.439,1.125,5.32,ASAP-0031869,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1 |o1:21|,2024-09-23
0.185,0.178,0.192,1.093,6.73,ASAP-0031870,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1 |o1:21|,2024-09-23
0.682,0.649,0.717,1.113,6.17,ASAP-0031833,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@@H]1C |o1:1,19|",2024-09-23
0.946,0.884,1.012,1.146,6.02,ASAP-0031748,CC(C)(F)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
5.459,5.119,5.822,1.091,5.26,ASAP-0031755,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |o1:1,19|",2024-09-23
12.722,11.663,13.877,1.13,4.9,ASAP-0031756,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |o1:1,19|",2024-09-23
0.464,0.426,0.505,1.081,6.33,ASAP-0031759,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C(F)(F)F)CC1 |&1:17|,2024-09-23
18.326,16.816,19.973,1.043,4.74,ASAP-0031750,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@@H](C(F)(F)F)C1 |a:17|,2024-09-23
3.717,3.531,3.912,1.104,5.43,ASAP-0031839,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C(F)(F)F)C1 |a:17|,2024-09-23
45.593,41.8,49.73,1.019,4.34,ASAP-0031778,N#CC[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|,2024-09-23
78.664,71.822,86.158,1.108,4.1,ASAP-0031785,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CCO)C1 |a:17|,2024-09-23
0.746,0.682,0.815,1.158,6.13,ASAP-0031790,CCC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
1.798,1.678,1.926,1.068,5.75,ASAP-0031798,O=C(CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCC1,2024-09-23
4.344,4.069,4.637,1.016,5.36,ASAP-0031815,CNC(=O)CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2024-09-23
1.208,1.124,1.297,1.047,5.92,ASAP-0031761,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=C1SC=C2 |o1:1|,2024-09-23
4.629,4.403,4.868,1.031,5.33,ASAP-0031776,C#CC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
4.924,4.55,5.329,1.11,5.31,ASAP-0031878,CC(C)CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-23
20.891,19.491,22.391,1.042,4.68,ASAP-0031882,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCOC2)CC1 |o1:17|,2024-09-23
38.784,36.445,41.274,1.096,4.41,ASAP-0031887,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CC2)C1,2024-09-23
3.339,2.935,3.798,1.047,5.48,ASAP-0031877,NC(=O)CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2024-09-23
0.200,0.193,0.208,1.084,6.7,ASAP-0031648,C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,2024-09-16
6.935,6.636,7.247,1.112,5.16,ASAP-0031647,C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,2024-09-16
