Username,CLD,Type,Success Rate,GitHub,Report
averkova-nika98,a,CF,86.378 ± 2.466,,https://docs.google.com/document/d/1SGw3gklEnCv-n_zV3mRvpl4sok304032/edit?usp=sharing&ouid=102900202710669481806&rtpof=true&sd=true
ernestglukhov,b,CF,85.363 ± 2.603,,https://docs.google.com/document/d/1ZscH4iBQFIDemyQVkfVfAevUrpPBmJ-vUiBYwwhMAK0/edit?usp=sharing
vemikainen,b,CF,85.213 ± 2.601,,https://docs.google.com/document/d/1e4ot7699vR7WfHQoaUXe7tRv7gN127Eu/edit?usp=sharing&ouid=102900202710669481806&rtpof=true&sd=true
vemikainenalt,c,DL,84.673 ± 2.670,,https://docs.google.com/document/d/1QujhEKtMpdUwFxE_AVq6RBzsHEh4gjkd/edit?usp=sharing&ouid=102900202710669481806&rtpof=true&sd=true
wiwnopgm,d,CF,83.657 ± 2.769,,https://apricot-zorah-51.tiiny.site
auro,e,CF,73.283 ± 3.368,https://github.com/meyresearch/polaris_challenge,https://github.com/meyresearch/BoltzForPolaris/blob/250e0b89d9e289b9a42c9edb580cf5f73cac721d/Polaris_Report.pdf
hmacdope,f,PB,67.277 ± 3.453,,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
rced,g,PB,62.475 ± 3.583,https://github.com/cedenoruel/sub_antiviral25,https://github.com/cedenoruel/sub_antiviral25
kysun,h,PB,53.138 ± 3.686,https://github.com/KSUN63/Polaris-Submission,https://docs.google.com/document/d/1YVxVi-zMc7rX0TrvO7SIZfkQ-uUx3ChdtV4oovq80ts/edit?usp=sharing
jthorton,i,PB,48.136 ± 3.703,https://github.com/jthorton/polaris_fegrow_mcs,https://github.com/jthorton/polaris_fegrow_mcs
djc56,j,PB,47.176 ± 3.767,https://github.com/cole-group/FEgrow,https://github.com/cole-group/polaris-fegrow
kbishop,k,PB,40.984 ± 3.657,,https://docs.google.com/document/d/1exokoYptuwRllvnQp_S42ZW3ecDc6zdk/edit?usp=sharing&ouid=111958341380201258210&rtpof=true&sd=true
ryusei-ogino,l,PB,40.028 ± 3.720,,https://github.com/ryusei-ogino/antiviral-challenge
wim0,m,PB,34.553 ± 3.600,https://github.com/dehaenw/polaris-baseline,https://molecular.beauty/blog/2025/03/13/polaris.html
xuhangdai,n,DL,29.415 ± 3.204,https://github.com/XDaiNYU/,https://docs.google.com/document/d/e/2PACX-1vQueWu4Myu0YAguHKRHMX88y7vl4_8z-6_2Y0UXNxt0Ny3kEtyDSwjlsg6soVXOtLfnHnyqmK-WrLWH/pub
yul533,o,PB,25.785 ± 3.171,,https://github.com/yul533/polaris-antiviral-challenge/blob/main/pose%20prediction
dodo,p,PB,22.442 ± 2.990,https://github.com/fulopjoz/polaris-antiviral-submission,https://tinyurl.com/dodo-poses
fjclark,q,PB,18.548 ± 2.915,https://github.com/michellab/polaris-poses-challenge-fegrow-a3fe,https://github.com/michellab/polaris-poses-challenge-fegrow-a3fe
myzzzz,r,PB,17.391 ± 2.778,https://github.com/myzzzz6,https://www.quantabricks.xyz
nnnty,s,PB,16.349 ± 2.668,,https://github.com/yul533/polaris-antiviral-challenge/blob/main/pose%20prediction%202
jscheen,t,CF,2.681 ± 1.161,,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
vanguard737,u,DL,2.174 ± 1.089,https://github.com/alpha29/polaris-asap-poses,https://github.com/alpha29/polaris-asap-poses/blob/master/doc/report.md
kriegegroup,v,DL,1.110 ± 0.765,https://github.com/ellenaj0/polaris-challenge-ligand-poses-2025,https://drive.google.com/file/d/1leKiDHVeGDe5GL0_ll8fxZrDh05d4X7g/view?usp=sharing
sekuen,w,DL,0.000 ± 0.000,,https://colab.research.google.com/drive/1lne8e6-4gkNb3HwocvWBOH6NUBX0svc4?usp=sharing
