,RMSD,Method,SMILES,Protein,Scaffold
770,6.147485232128133,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NC([H])=NC(N([H])C([H])([H])[C@@]2([H])C([H])([H])N(C3=C4C([H])=C([H])C([H])=C([H])C4=C([H])N=C3[H])C(=O)[C@]23C2=C([H])C(Cl)=C([H])C([H])=C2C(=O)N(C([H])([H])C2=NN=C([H])O2)C3([H])[H])=N1,MERS-CoV Mpro,CC1C(CC2CCCC2)CC2(C(CCC3CCCCC3)CC(C3CCCC4CCCCC43)C2C)C2CCCCC12
771,3.813252849997122,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NC([H])=C2C([H])=C([H])C([H])=C([H])C2=C1C([H])([H])C(=O)N(C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H],MERS-CoV Mpro,CC(CC1CCCC2CCCCC21)C(CC1CCCCC1)C1CCCCC1
772,7.650092321799625,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NC([H])=C([H])C(N([H])C([H])([H])[C@@]2([H])C([H])([H])N(C3=C4C([H])=C([H])C([H])=C([H])C4=C([H])N=C3[H])C(=O)[C@]23C2=C([H])C(Cl)=C([H])C([H])=C2C(=O)N(C([H])([H])C(=O)N([H])C([H])([H])[H])C3([H])[H])=N1,SARS-CoV-2 Mpro,CC1CCC2(C(CCC3CCCCC3)CC(C3CCCC4CCCCC43)C2C)C2CCCCC12
773,5.284276706341374,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NC([H])=C2C([H])=C([H])C([H])=C([H])C2=C1N1C(=O)[C@]2(C3=C([H])C(Cl)=C([H])C([H])=C3C(=O)N(C([H])([H])C(=O)N([H])C([H])([H])[H])C2([H])[H])[C@@]([H])([N+]([H])([H])[H])C1([H])[H],MERS-CoV Mpro,CC1CCC2(CCC(C3CCCC4CCCCC43)C2C)C2CCCCC12
774,6.720886900594059,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NC(N([H])C([H])([H])[C@@]2([H])C([H])([H])N(C3=C4C([H])=C([H])C([H])=C([H])C4=C([H])N=C3[H])C(=O)[C@]23C2=C([H])C(Cl)=C([H])C([H])=C2C(=O)N(C([H])([H])C2=C([H])C([H])=NN=C2[H])C3([H])[H])=C([H])C([H])=N1,MERS-CoV Mpro,CC1C(CC2CCCCC2)CC2(C(CCC3CCCCC3)CC(C3CCCC4CCCCC43)C2C)C2CCCCC12
775,6.99444714253226,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NN(C([H])([H])[H])C([H])=C1N([H])C([H])([H])[C@@]1([H])C([H])([H])N(C2=C3C([H])=C([H])C([H])=C([H])C3=C([H])N=C2[H])C(=O)[C@]12C1=C([H])C(Cl)=C([H])C([H])=C1C(=O)N(C([H])([H])C(=O)N([H])C([H])([H])[H])C2([H])[H],SARS-CoV-2 Mpro,CC1CCC2(C(CCC3CCCC3)CC(C3CCCC4CCCCC43)C2C)C2CCCCC12
776,6.388577665098274,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NC(C([H])([H])[H])=C([H])N=C1C([H])([H])N1C(=O)C2=C([H])C([H])=C(F)C([H])=C2[C@]2(C(=O)N(C3=C4C([H])=C([H])C([H])=C([H])C4=C([H])N=C3[H])C([H])([H])[C@]2([H])C([H])([H])[H])C1([H])[H],SARS-CoV-2 Mpro,CC1C(CC2CCCCC2)CC2(CCC(C3CCCC4CCCCC43)C2C)C2CCCCC12
777,7.098115049004187,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NC([H])=C2C([H])=C([H])C([H])=C([H])C2=C1N1C(=O)[C@]2(C3=C([H])C(Cl)=C([H])C([H])=C3C(=O)N(C([H])([H])C(=O)N([H])C([H])([H])[H])C2([H])[H])[C@@]([H])(C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H],SARS-CoV-2 Mpro,CC1CCC2(CCC(C3CCCC4CCCCC43)C2C)C2CCCCC12
778,6.157098294458299,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NC([H])=C2C([H])=C([H])C([H])=C([H])C2=C1N1C(=O)[C@]2(C3=C([H])C(F)=C([H])C([H])=C3C(=O)N(C([H])([H])C3=NC([H])=C([H])N3C([H])([H])[H])C2([H])[H])[C@@]([H])(C([H])([H])[H])C1([H])[H],SARS-CoV-2 Mpro,CC1C(CC2CCCC2)CC2(CCC(C3CCCC4CCCCC43)C2C)C2CCCCC12
779,7.197053592306036,competition-prediction-8oFF30AHg20eUKrnRQzUE,[H]C1=NC([H])=C2C([H])=C([H])C([H])=C([H])C2=C1C([H])([H])C(=O)N1C([H])([H])C([H])([H])C2=C(C([H])=C([H])S2)[C@]1([H])C([H])([H])[H],MERS-CoV Mpro,CC(CC1CCCC2CCCCC21)C1CCC2CCCC2C1
